CM,KT,TH,ZC,estado,lat,lon,municipio,KT_nome,TH_nome,CM_nome
54.0,5.0,4.0,7801.0,Parana,-24.34587618410784,-52.32940202867372,Luiziana,Cfa,B2,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.07732261791466,-51.76842119909213,Lunardelli,Cfa,B1,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.727298202199616,-51.66426783477265,Lupionopolis,BSh,C2 (Subúmido),TR-SB
44.0,6.0,3.0,6801.0,Parana,-25.880128729967364,-50.85749384663945,Mallet,Cfb,B3,TE-SB
54.0,5.0,4.0,6801.0,Parana,-24.35691278935189,-52.58290034583252,Mambore,Cfa,B2,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.278335993982942,-52.05491235134879,Mandaguacu,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.48174549937634,-51.70610375247446,Mandaguari,Cfa,B1,ST-SB
44.0,6.0,4.0,6801.0,Parana,-25.83850906933468,-49.317847391825154,Mandirituba,Cfb,B2,TE-SB
54.0,5.0,3.0,6801.0,Parana,-26.094369363787937,-53.344982488759115,Manfrinopolis,Cfa,B3,ST-SB
44.0,6.0,3.0,6901.0,Parana,-26.035157598684204,-52.20586538124442,Mangueirinha,Cfb,B3,TE-SB
54.0,5.0,5.0,7801.0,Parana,-24.48692577063386,-51.638267079979755,Manoel Ribas,Cfa,B1,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.585291492177575,-54.150694037921355,Marechal Candido Rondon,Cfa,B1,ST-SB
54.0,5.0,6.0,7701.0,Parana,-23.57929657937785,-53.22237552590622,Maria Helena,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.530131213824934,-51.86713704867715,Marialva,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.77323079990573,-51.283269047771334,Marilandia Do Sul,Cfa,B1,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.736959710822706,-53.060596257586916,Marilena,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7701.0,Parana,-24.052468721013547,-53.20679291796121,Mariluz,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.400879341956127,-51.96739221863119,Maringa,Cfa,B1,ST-SB
44.0,6.0,3.0,6901.0,Parana,-26.335672121794623,-52.58015015774385,Mariopolis,Cfb,B3,TE-SB
54.0,5.0,5.0,7701.0,Parana,-24.439303014136467,-53.78067151397738,Maripa,Cfa,B1,ST-SB
54.0,5.0,3.0,6901.0,Parana,-26.24450416566554,-53.09193229139415,Marmeleiro,Cfa,B3,ST-SB
54.0,5.0,4.0,6801.0,Parana,-25.099620590534784,-52.25222848589147,Marquinho,Cfa,B2,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.7536461918489,-51.658815542874386,Marumbi,Cfa,B1,ST-SB
54.0,5.0,4.0,7801.0,Parana,-25.3594157022168,-53.904452834715755,Matelandia,Cfa,B2,ST-SB
54.0,5.0,1.0,7901.0,Parana,-25.76177431490732,-48.55481869985952,Matinhos,Cfa,A (Superúmido),ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.701299505922073,-52.21256980760981,Mato Rico,Cfa,B2,ST-SB
54.0,6.0,4.0,6801.0,Parana,-23.912914677264254,-51.17733055702496,Maua Da Serra,Cfb,B2,ST-SB
